Date,columunG1,columunG1_low,columunG1_up,columunG2,columunG2_low,columunG2_up
2021/12/11,2.5,-14,17,-20,-34,-0.25
2021/12/12,5,-11,19,-17,-32,1
2021/12/13,3,-13,17,-22,-36,-1
2021/12/14,4,-11,19,-21.5,-37,1
2021/12/15,6,-11,20.25,-21,-35,-1
2021/12/16,8,-8,22,-18,-33,3
2021/12/17,11,-7,25,-18,-33,5
2021/12/18,17,-5,38,-16,-33,11
2021/12/19,17,-4.5,33,-13,-31,13.25
2021/12/20,9,-9,26,-19,-36,7
2021/12/21,9,-7,25,-20,-37,8
2021/12/22,11,-6,28,-17,-35,8
2021/12/23,5,-12.25,21.25,-17,-37,10
2021/12/24,-23,-35,-9,-37,-49,-19
2021/12/25,-20,-37,-5,-44,-58,-27
2021/12/26,7,-17.25,30,-18,-36.25,8.25
2021/12/27,5,-16,26,-22,-43,8.25
2021/12/28,2,-16,18,-22,-41,7
2021/12/29,2,-17,15.25,-22,-41.75,3.75
2021/12/30,-1,-17,17,-24,-42,2
2021/12/31,-20.5,-33,-5.25,-38,-51,-19
2022/1/1,-23,-38,-6,-42,-55,-21
2022/1/2,0.5,-17,22,-21.5,-38,5
2022/1/3,-3,-18.75,13,-29,-47,-7.75
2022/1/4,-2,-15.5,11.5,-26,-43,-6
2022/1/5,-2,-18,10,-28,-44,-6
2022/1/6,-10,-23,6,-30,-44,-8
2022/1/7,-9,-24,4,-36,-51,-15
2022/1/8,-6,-22,7,-31,-45,-12
2022/1/9,-9,-22,5,-30,-45,-12
2022/1/10,-6,-21,7,-28,-44,-9
2022/1/11,-3.5,-19,9,-31,-46.25,-8.75
2022/1/12,-3,-18,11,-28.5,-44.25,-8
2022/1/13,-3,-17,11.5,-29,-43,-8
2022/1/14,-4,-20,9,-30,-43,-10
2022/1/15,-8,-25,6,-30,-43,-10
2022/1/16,-19,-34,0,-35,-47,-15.25
2022/1/17,-11,-29.5,5,-39,-54,-17
2022/1/18,-6,-19,8,-27,-43,-9.25
2022/1/19,-4,-19,10,-28,-43,-7
2022/1/20,-6,-20,7,-28,-44,-10
2022/1/21,-9,-25,4,-31,-45,-13
2022/1/22,-10,-26,5,-32,-43,-14
2022/1/23,-9,-25,3,-28,-41,-10
2022/1/24,-7,-21,7,-28,-42,-9.25
2022/1/25,-4,-18.75,9,-29,-43,-10
2022/1/26,-3,-17.5,10,-28,-43,-7
2022/1/27,-2,-16,10,-26,-41,-8
2022/1/28,-5,-19,10,-28.5,-42,-10
2022/1/29,-6,-21,9,-35.5,-55,-15
2022/1/30,-7,-20,7,-28,-43,-12
2022/1/31,-3,-17,10.75,-26,-41,-7
2022/2/1,1,-15,15,-24,-40,-5
2022/2/2,-9,-26,6,-28.5,-42,-10
2022/2/3,-24,-43,-5,-30,-43,-14
2022/2/4,-18,-33,-4,-34,-47,-15
2022/2/5,-7,-23,6,-27,-39,-9
2022/2/6,-6,-20,8,-23,-37,-5.5
2022/2/7,-3,-18,12.75,-25.5,-40,-7
2022/2/8,0,-17,14,-26,-39,-6
2022/2/9,1,-15,17,-23,-38,-4
2022/2/10,0,-15,15.5,-22,-37,-3.25
2022/2/11,-2,-15,14,-23,-36,-5
2022/2/12,-1,-18,13,-21,-32.75,-4.25
2022/2/13,-7,-20,7,-25,-38,-8
2022/2/14,-4,-17,11,-24,-39,-5
2022/2/15,0,-14,14.25,-23,-39,-3
2022/2/16,3,-14,18,-23,-37,-2
2022/2/17,-3,-19,14,-22,-36,-3
2022/2/18,3,-14,19.25,-21,-37,1
2022/2/19,4,-13,21,-19,-33,2.5
2022/2/20,4,-14,20,-18.5,-33,3
2022/2/21,3,-15,19.5,-22,-40,3.75
2022/2/22,0,-17,14,-24,-39,-3
2022/2/23,-1,-19,13,-22,-37,-2
2022/2/24,-5,-21,12,-23,-39,-3
2022/2/25,-1,-15,14,-28,-45,-6
2022/2/26,2,-15,17,-22,-35.75,0
2022/2/27,3,-14,19,-19,-33,2.25
2022/2/28,2,-14,17,-23,-38,-2
2022/3/1,3,-12,17,-22,-37,-2
2022/3/2,5,-12,20,-22,-37,-2
2022/3/3,5,-11,21,-22,-38,-1
2022/3/4,4,-13,20,-24,-39,-3
2022/3/5,6,-12.25,23.25,-21.5,-35.75,0
2022/3/6,6,-13,22,-18,-34,0
2022/3/7,0,-16,16,-24,-39,-3.75
2022/3/8,0,-14.25,15,-24,-39,-5
2022/3/9,0,-17,17,-27,-41,-4
2022/3/10,1,-14.5,18.5,-24,-40,-3
2022/3/11,2,-16,18,-24,-39,-2
2022/3/12,3,-18,23,-28,-47,-6
2022/3/13,10,-11,28,-19,-36,6
2022/3/14,4.5,-13,22,-23,-39,1
2022/3/15,4,-11,18.75,-23,-39,-2.75
2022/3/16,7,-11,22,-22,-37.5,0
2022/3/17,6,-11,24,-23,-39,1
2022/3/18,8,-13,25,-21,-37,1
2022/3/19,13,-9,33,-21,-37,5
2022/3/20,17,-8,36,-15,-31,12.5
2022/3/21,4,-15,19,-23,-36.75,1
