"","State","New_Cases","Pop","cases_per1000000","group.x","transit_stations_percent_change_from_baseline","group.y"
"1","Alabama",362258,4949697,73187.9143309176,"Low",-5.91103916127043,"Low"
"2","Alaska",45771,720763,63503.5372237476,"Low",-22.0981387478849,"Low"
"3","Arizona",520559,7640796,68128.8965181115,"Low",-11.2441571357534,"Low"
"4","Arkansas",225538,3042017,74140.940040769,"Low",-4.49654545454545,"Low"
"5","California",2239756,39664128,56468.0509300494,"High",-26.4850825382402,"High"
"6","Colorado",347887,5961083,58359.6973905581,"High",-18.3834080717489,"High"
"7","Connecticut",185735,3546588,52370.0525688352,"High",-21.9538391224863,"High"
"8","Delaware",57868,998619,57948.0262242156,"High",-20.7603092783505,"High"
"9","District of Columbia",28983,718355,40346.3468619276,"High",-61.5732087227414,"High"
"10","Florida",1314041,22177997,59249.7600211597,"High",-23.4828389501475,"High"
"11","Georgia",666457,10936299,60939.9029781464,"Low",-9.23856580673371,"Low"
"12","Hawaii",21026,1401709,15000.2603964161,"High",-59.7525316455696,"High"
"13","Idaho",141077,1896652,74382.1217598168,"Low",5.59037396121884,"Low"
"14","Illinois",963389,12518071,76959.8606686286,"High",-11.9122751322751,"High"
"15","Indiana",511698,6842385,74783.5732716005,"Low",-1.5805550009982,"Low"
"16","Iowa",280669,3174426,88415.6694785136,"Low",-6.2739837398374,"Low"
"17","Kansas",222525,2919179,76228.6245550547,"Low",-1.05816883662327,"Low"
"18","Kentucky",275103,4487233,61307.9374304833,"Low",-4.2552380952381,"Low"
"19","Louisiana",315394,4616106,68324.6875180076,"Low",-13.9883348288681,"Low"
"20","Maine",25924,1359677,19066.2929504581,"High",-11.2157133011716,"High"
"21","Maryland",276662,6075314,45538.7161881674,"High",-27.234375,"High"
"22","Massachusetts",373473,6922107,53953.658907613,"High",-32.2715012722646,"High"
"23","Michigan",589728,9995212,59001.0497025976,"Low",-16.999658061207,"Low"
"24","Minnesota",415309,5739781,72356.2449508091,"High",-27.7637634721818,"High"
"25","Mississippi",221928,2961536,74936.7895578511,"Low",-3.57062352299582,"Low"
"26","Missouri",449569,6184843,72688.8297730436,"Low",-4.23188566363838,"Low"
"27","Montana",81559,1093117,74611.4093916754,"Low",-2.88130210400953,"Low"
"28","Nebraska",167233,1960790,85288.5826631103,"Low",7.81444683136412,"Low"
"29","Nevada",224766,3238601,69402.1894021523,"Low",-4.14125932062966,"Low"
"30","New Hampshire",44028,1378449,31940.2458850491,"High",-20.2953257790368,"High"
"31","New Jersey",527794,8870685,59498.6745668457,"High",-28.9451239137432,"High"
"32","New Mexico",142864,2109093,67737.1742260773,"High",-9.89508254926327,"High"
"33","New York",548154,19223191,28515.2449455452,"High",-27.2136201427439,"High"
"34","North Carolina",548160,10807491,50720.3753396602,"Low",-14.4723912802921,"Low"
"35","North Dakota",92805,774008,119901.861479468,"Low",-16.224153705398,"Low"
"36","Ohio",700380,11727377,59721.7945666793,"Low",-2.3211861667744,"Low"
"37","Oklahoma",325524,4007179,81235.2031192018,"Low",0.495641838351823,"Low"
"38","Oregon",114202,4325290,26403.3163094266,"High",-10.0602389078498,"High"
"39","Pennsylvania",648569,12805190,50648.9165721087,"High",-16.0263032042085,"High"
"40","Rhode Island",85312,1062583,80287.3751979845,"High",-40.0458786936236,"High"
"41","South Carolina",317445,5342388,59420.0570980618,"Low",-3.35235931025264,"Low"
"42","South Dakota",99164,902542,109871.895158342,"Low",1.15245478036176,"Low"
"43","Tennessee",576490,7001803,82334.5072690563,"Low",-5.53880692751764,"Low"
"44","Texas",1688697,30097526,56107.5019920242,"Low",-9.13026409707352,"Low"
"45","Utah",276612,3363182,82247.1100285384,"Low",-8.60618347693867,"Low"
"46","Vermont",6970,622882,11189.9204022592,"High",-36.1159107271418,"High"
"47","Virginia",354767,8638218,41069.4659477221,"High",-15.9238799146602,"High"
"48","Washington",244830,7887965,31038.4237252574,"High",-15.5330733463327,"High"
"49","West Virginia",85334,1755715,48603.5603728396,"Low",-2.58010387534958,"Low"
"50","Wisconsin",520438,5867518,88698.151415982,"High",-9.47411203392826,"High"
"51","Wyoming",44518,582233,76460.7983401834,"Low",9.04011998500187,"Low"
