State,New_Cases,Pop,New_Cases_per1000000,group
Alabama,305178,4949697,61655.8953,Low
Alaska,79742,720763,110635.5348,Low
Arizona,419848,7640796,54948.20173,Low
Arkansas,193152,3042017,63494.7142,Low
California,1260733,39664128,31785.21913,High
Colorado,304005,5961083,50998.28337,High
Connecticut,87672,3546588,24720.09718,High
Delaware,49090,998619,49157.88704,High
District of Columbia,18713,718355,26049.79432,High
Florida,1434372,22177997,64675.45288,High
Georgia,549129,10936299,50211.59352,Low
Hawaii,50154,1401709,35780.60782,High
Idaho,117753,1896652,62084.66287,Low
Illinois,490585,12518071,39190.14359,High
Indiana,397374,6842385,58075.36407,Low
Iowa,173495,3174426,54653.97524,Low
Kansas,166598,2919179,57070.15568,Low
Kentucky,351231,4487233,78273.40368,Low
Louisiana,300242,4616106,65042.26723,Low
Maine,66853,1359677,49168.29512,High
Maryland,137604,6075314,22649.6935,High
Massachusetts,255344,6922107,36888.19026,High
Michigan,561406,9995212,56167.493,Low
Minnesota,340973,5739781,59405.22818,High
Mississippi,199270,2961536,67286.02995,Low
Missouri,318060,6184843,51425.71929,Low
Montana,80853,1093117,73965.54989,Low
Nebraska,97149,1960790,49545.84632,Low
Nevada,140839,3238601,43487.60468,Low
New Hampshire,74049,1378449,53719.07122,High
New Jersey,270709,8870685,30517.25994,High
New Mexico,124413,2109093,58988.86393,High
New York,482277,19223191,25088.29049,High
North Carolina,560828,10807491,51892.52529,Low
North Dakota,56214,774008,72627.15631,Low
Ohio,654702,11727377,55826.80594,Low
Oklahoma,223129,4007179,55682.31417,Low
Oregon,195070,4325290,45099.86614,High
Pennsylvania,576554,12805190,45025.02501,High
Rhode Island,46227,1062583,43504.36625,High
South Carolina,333438,5342388,62413.6622,Low
South Dakota,46465,902542,51482.36869,Low
Tennessee,471434,7001803,67330.37191,Low
Texas,1345640,30097526,44709.32262,Low
Utah,200610,3363182,59648.86824,Low
Vermont,27485,622882,44125.5326,High
Virginia,316539,8638218,36644.01616,High
Washington,346880,7887965,43975.85436,High
West Virginia,141510,1755715,80599.64174,Low
Wisconsin,341330,5867518,58172.80833,High
Wyoming,51719,582233,88828.69916,Low
