State,New_Cases,Pop,cases_per1000000,group
Alabama,440642,4949697,89024.03521,Low
Alaska,88420,720763,122675.5535,Low
Arizona,683287,7640796,89426.15403,Low
Arkansas,294237,3042017,96724.31153,Low
California,3927905,39664128,99029.15299,High
Colorado,472817,5961083,79317.29855,High
Connecticut,290326,3546588,81860.65029,High
Delaware,100388,998619,100526.8275,High
District of Columbia,67253,718355,93620.84206,High
Florida,2099062,22177997,94646.14861,High
Georgia,805164,10936299,73623.07852,Low
Hawaii,147012,1401709,104880.5423,High
Idaho,131514,1896652,69340.07926,Low
Illinois,1172334,12518071,93651.33015,High
Indiana,538461,6842385,78694.92874,Low
Iowa,207176,3174426,65264.08239,Low
Kansas,283224,2919179,97021.79962,Low
Kentucky,494843,4487233,110277.982,Low
Louisiana,391618,4616106,84837.3066,Low
Maine,97765,1359677,71903.1064,High
Maryland,409010,6075314,67323.26922,High
Massachusetts,718945,6922107,103862.1622,High
Michigan,812801,9995212,81319.03555,Low
Minnesota,469277,5739781,81758.69428,High
Mississippi,264126,2961536,89185.47673,Low
Missouri,470701,6184843,76105.5697,Low
Montana,76790,1093117,70248.65591,Low
Nebraska,133508,1960790,68088.88254,Low
Nevada,211057,3238601,65169.18879,Low
New Hampshire,126929,1378449,92081.0273,High
New Jersey,894634,8870685,100852.8654,High
New Mexico,186850,2109093,88592.58458,High
New York,1009978,19223191,52539.56016,High
North Carolina,1059185,10807491,98004.70803,Low
North Dakota,72937,774008,94232.87615,Low
Ohio,893751,11727377,76210.64796,Low
Oklahoma,352081,4007179,87862.55867,Low
Oregon,301804,4325290,69776.59301,High
Pennsylvania,957429,12805190,74768.8242,High
South Carolina,537008,5342388,100518.345,Low
South Dakota,64921,902542,71931.27854,Low
Tennessee,668998,7001803,95546.5328,Low
Texas,2215347,30097526,73605.61795,Low
Utah,316213,3363182,94021.97086,Low
Vermont,56023,622882,89941.59407,High
Virginia,667571,8638218,77281.10126,High
Washington,657435,7887965,83346.59193,High
West Virginia,191420,1755715,109026.8067,Low
Wisconsin,557413,5867518,94999.79378,High
Wyoming,43126,582233,74070.0029,Low
